"","group","results","genes","n"
"1","MG","hatch_prolong(+); inc.d17_prolong(+)","ABLIM2; ACOX2; ACSF2; ADAM19; ADAM33; ADAMTS5; AEBP1; AGBL2; AGPAT2; AGR2; AKAP7L; ALOX5; ALS2CL; AMHR2; ANGPTL4; ANKRD29; ANXA6; APCDD1; APELA; AQP3; AQP4; ARHGAP22; ARHGAP28; ARHGAP40; ARHGAP6; ASB11; ASL2; ATP8B2; B3GNT7; BIRC7; BLNK; BMP15; BTG4; C10ORF128; C10ORF54; C11H19ORF40; C11ORF34; C2CD4C; C5H14ORF105; C5H14ORF37; C8ORF22; CACNA2D1; CALB1; CALCA; CAPN9; CAPSL; CASR; CBLN4; CCBE1; CCDC69; CCDC80; CCNO; CD24; CD300A; CD34; CD44; CD74; CD99; CDCP1; CDHR3; CDHR4; CDKN1A; CEBPA; CECR1; CH25H; CHL1; CHST1; CIDEC; CLDN23; CLDN5; CMTM8; COCH; COL1A1; COTL1; CP; CPZ; CRHBP; CSF1; CTGF; CTSK; CX3CL1; CXCL12; CXCL14; CYBB; CYP19A1; CYP26A1; CYP27A1; CYP3A7; CYR61; CYSLTR1; DCN; DENND2D; DEPDC6; DKK1; DKK3; DLL1; DNAH5; DNAH9; DPYSL2; DSG4; DSP; DTHD1; DUSP1; EAF2; EIF4E1B; ELF3; ELMSAN1; ELOVL7; EMCN; EMX2; EPM2A; EPN3; ETS2; FA2H; FAAH; FABP4; FAM105A; FAM107A; FAM110C; FAM149A; FAM19A1; FAM20C; FAM26D; FAM26F; FAM3B; FAM43A; FBXO32; FEZF2; FGF13; FGF8; FGFR2; FGFR3; FHL5; FOLR1; FOSL2; FRMD4B; FZD10; G0S2; GABRG1; GABRQ; GAD2; GAS2L2; GBX2; GDF10; GDPD2; GEM; GIPC2; GJA4; GPRC5C; GREM2; GRIK1; GRP; GSTT1L; GYPC; H1FOO; HAP1; HEYL; HHEX; HLA-DRA; HMOX1; HNF4A; HOXA4; HOXA5; HOXA6; HOXB4; HOXB5; HOXB6; HOXB7; HOXB8; HPGDS; HSPB8; HTR1F; HTRA1; HTRA3; ID1; ID3; ID4; IGFBP4; IKZF1; IL16; IL7; INS; IRF1; ISM2; ITGA11; ITGB4; ITGB6; ITIH2; JADE2; KBTBD12; KCNC4; KCNG3; KCNJ15; KCNQ1; KCTD14; KCTD8; KIAA1024; KIAA1522; KIAA1841; KRT19; KRT8; KRT80; LAPTM5; LARP6L; LAT2; LDLRAD1; LGALS1; LGALS3; LGI2; LMCD1; LMO2; LMO7; LMX1B; LOC100857632; LOC100858707; LOC100859318; LOC100859351; LOC101747588; LOC101749017; LOC101749307; LOC101749531; LOC101750205; LOC101750448; LOC101750635; LOC101751481; LOC101751827; LOC107049162; LOC107050012; LOC107050638; LOC107050828; LOC107052718; LOC107052725; LOC107052832; LOC107052834; LOC107053055; LOC107053803; LOC107055160; LOC378902; LOC416146; LOC417131; LOC417962; LOC418414; LOC418700; LOC419112; LOC419333; LOC419851; LOC420300; LOC422305; LOC422321; LOC422926; LOC424919; LOC428278; LOC428479; LOC428967; LOC429032; LOC431656; LOC768589; LOC772218; LRRC17; LRRN2; LZTS3; M6PR; MAFB; MAGI1; MAL; MAP7; MARCO; MCF2L2; MEIS1; MFSD4; MGAT3; MGP; MGST2; MICAL2; MMP10; MMRN1; MMRN2; MOXD1; MPEG1; MXRA5; MYB; MYC; MYCL; MYO7A; NBL1; NDNF; NFKBIZ; NKAIN1; NPTX1; NR4A2; NRP1; OCLN; OR4S2; OSR1; P2RY1; PALD1; PANX1; PARP14; PAX3; PCDH1; PCDH18; PCDH19; PDGFRB; PFKFB3; PHLDA2; PKDCCb; PKP2; PLAU; PLCD4; PLD4; PLEKHA6; PLEKHS1; PLIN3; PLK3; PLXNC1; PODXL; POU2AF1; PPAP2C; PPP1R1B; PPP1R1C; PPP1R3C; PRDM12; PRICKLE2; PRR15; PTAFR; PTGES; PTPRQ; RASL10A; RASSF5; RASSF6; RBM47; RBP7; RBPMS; RBPMS2; RDH10; RERGL; RGCC; RGCCL; RGS11; RHBDF2; RILP; RNF208; ROS1; RP1; RP11-385J1.3; RP11-514P8.6; RP11-565P22.6; RPH3A; RPS6KA1; RRAD; RUNX3; RXFP1; SCN5A; SCNN1B; SDC2; SEMA3D; SEMA3G; SERPINA4; SERPINB1; SERPIND1; SFRP2; SGPP2; SH2B2; SH3TC2; SIX1; SLC12A8; SLC16A2; SLC18A2; SLC19A2; SLC22A3; SLC26A3; SLC4A2; SLC5A9; SLC9A3R1; SLC9A7; SLITRK6; SNAI2; SORL1; SOX17; SOX7; SPATA13; SPDEF; SPINT1; SSFA2; STK10; STK32B; SYCP2L; SYDE2; SYTL5; TACC2; TAPBPL; TBX3; TDO2; TEC; TESC; TH; THBD; THBS1; TLL1; TLR3; TMEFF1; TMEM121; TMEM40; TMPRSS15; TMPRSS2; TN; TNC; TNFAIP2; TNFSF10; TNFSF13B; TP63; TRAIL-LIKE; TRIB2; TSPAN8; UBE2O; UGT8L; UNC5B; UPK1B; USH1C; VAMP2; VMO1; VTG1; VWF; WFDC2; WNT11; WNT7A; WSCD2; XK; ZBTB42; ZP3L1; ZPAX",431
"2","FG","hatch_prolong(+); inc.d17_prolong(+)","ABCA4; ABCB11; ACOT12; ACR; ACRBP; ADAM20; ADAP2; ADCYAP1; ADRA1D; AGBL3; AGBL5; ALB; ANKEF1; ARHGEF33; ARHGEF9; ARMC4; ARSE; ASB15; ASCL4; ASZ1; BBS12; BCAT1; BTD; BTK; C10H15ORF58; C10H15ORF60; C11ORF85; C11ORF97; C14ORF39; C15ORF43; C17H9ORF171; C1H12ORF40; C1H12ORF63; C1H22ORF23; C1HXORF59; C1ORF100; C20H20ORF85; C20ORF96; C2H18ORF63; C2H7ORF63; C3H20ORF26; C3ORF48; C4H4ORF47; C4ORF17; C5ORF49; C8H1ORF177; C9H2ORF82; CALCOCO2; CALN1; CCDC108; CCDC113; CCDC122; CCDC135; CCDC147; CCDC171; CCDC178; CCDC180; CCDC181; CCDC183; CCDC27; CCDC36; CCDC39; CCDC40; CCDC42; CCDC67; CCDC73; CCDC96; CD36; CDK3; CEP78; CFAP44; CFAP57; CFAP99; CIB3; CILP; CLGN; CLMN; CNR2; CNTRL; COL6A6; COL8A2; CPEB3; CRYBA1; CSAD; CYP2R1; CZH9ORF84; DAGLA; DDX25; DDX43; DGKK; DMRT1; DMRTB1; DNAH10; DNAI1; DNAJC12; DND1; DNM3; DTNB; DUPD1; DYRK3; DYTN; E2F8; EFHB; EFHC1; EFHC2; ELAVL4; ELOVL2; ENO4; ERICH6B; FAM101A; FAM155A; FAM184B; FAM83A; FBXO15; FBXO16; FBXW10; FLRT1; FP325317.1; GABRR1; GALK1; GALM; GBE; GDPD4; GHRH; GJA3; GK; GLRA1; GLRB; GMNC; GMPR; GOLPH3L; GPM6B; GPR114; GPR135; GPR149; GPR174; GPR64; GPR85; GRHPR; GUCY2F; HCN1; HCRTR2; HFM1; HMGCLL1; HORMAD2; HPD; HSF4; HYKK; IFFO2; IGSF10; IL1RAPL1; IMPG1; INCENP; IQCD; IQCHL; IQUB; ITIH3; KATNAL2; KIAA0753; KIAA0825; KIF18B; KIF24; KIF3B; KIF9; LARP1B; LCA5L; LNP1; LOC100857401; LOC100857777; LOC100857840; LOC100858077; LOC100858617; LOC100859097; LOC100859314; LOC100859605; LOC100859636; LOC100859804; LOC101747386; LOC101748011; LOC101748344; LOC101748426; LOC101748951; LOC101750842; LOC101751874; LOC101751906; LOC101752046; LOC107049033; LOC107049266; LOC107049324; LOC107049379; LOC107049826; LOC107051069; LOC107051647; LOC107052432; LOC107052987; LOC107053211; LOC107054772; LOC107054961; LOC107055022; LOC107055024; LOC107055086; LOC107055266; LOC107057241; LOC107057566; LOC416212; LOC416500; LOC417691; LOC421099; LOC421195; LOC421502; LOC422304; LOC422448; LOC423277; LOC424028; LOC425001; LOC428322; LOC428593; LOC429167; LOC770248; LOC772075; LRP2BP; LRRC10B; LRRC18; LRRC19; LRRC23; LRRC34; LRRC46; LRRC48; LRRC72; MAATS1; MARCH11; MCOLN1; MEIG1; MLC1; MOGAT2; MRAP2; MYBPC3; MYOM3; NEDD4L; NEK5; NFAM1; NHLH1; NKX1-2; NKX2-3; NKX3-1; NMU; NOTUM; NPR1; NPY6R; NRGN; NSD1; NTNG1; ODF2; OPN1LW; OPNVA; OTOR; PACRG; PAGR1; PAN2; PARD6A; PAX7; PCDH10; PCSK1; PFKFB4; PFN4; PHOSPHO1; PIH1D3; PIPOX; PKD2L2; PKHD1; PNO1; PPP1R36; PPP1R42; PRKG2; PRSS55; RAD9B; RAG2; RBM44; REEP6; RFK; RIBC2; RNF17; RNF212; RPGR; RSPH10B; RSPH14; RSPH3; S100B; SAXO1; SCN4B; SENP8; SEPT10; SERINC4; SEZ6; SGOL2; SH3RF3; SIK1; SLC13A5; SLC25A38; SLC25A47; SLC25A48; SLC26A4; SLC27A2; SLC39A8; SLC8A2; SLITRK1; SMC6; SMYD1; SOX2; SPAG8; SPATA17; SPATA18; SPATA22; SPATA6; SPDYA; SPEF2; SRRM3; STK31; STK32C; STRA8; STYXL1; SULT6B1; SYCE3; TCFL5; TCTE1; TCTE3; TDRD9; TEKT1; TEKT2; TEKT3; TEKT4; TEKT5; TEX11; TEX12; TEX9; TFAP2A; TLR5; TMEM182; TMEM216; TMEM41B; TMEM86A; TMOD1; TMPRSS12; TNKS; TOPAZ1; TRH; TRIM36; TRIM67; TRPM1; TRPM3; TRPV3; TSGA10; TTC18; TTC29; TTC7A; TTLL2; TTLL3; UPF3A; USH2A; USP2; VPS29L; WDR16; WDR27; WDR78; XAF1; XRRA1; ZBTB37; ZIC4; ZNF541; ZNF767; ZNF831; ZPBP2",372
"3","FH","hatch_prolong(-); inc.d17_prolong(-)","ACP5; ADIRF; APOBEC2; AvBD5; BAIAP2L2; BLB1; BSX; C1ORF116; C7ORF72; CALB2; CALCA; CBLN2; CLCNKB; CUTA; CYP24A1; DMBX1; FOXD1; GATM; GBX2; GDPD2; GPR17; HAPLN4; HCRT; HLX; IRX2; IRX5; KCNJ15; LHCGR; LHX9; LMX1B; LOC101748683; LOC101750514; LOC107054855; LOC422926; LOC771308; LRRC32; NIPAL4; NPSR1; NPVF; NR5A1; OVALY; PAPPA; PAX7; PITX2; PMCH; RBPMS2; SHOX; SHOX2; SIX6; SOX14; SRGN; TCF7L2; TPPP2; WNT3",54
"4","FH","hatch_prolong(+); inc.d17_prolong(+)","ABCG8; ANKK1; ARSI; BRS3; CCDC60; CNTNAP4; COL19A1; CREBBP; CYP2W1; DGKH; DMRT2; DUPD1; FAM83B; FGF3; FGFBP3; GC; GPNMB; HELT; IAPP; ITPR1; KCTD18; KIF26B; KLHL34; LOC101748402; LOC107051069; LOC107055431; LOC107055658; LOC107056634; LOC418465; LOC420300; LOC769174; MYO15L; PDE1B; PERP1; PI15; PNO1; PPP1R1B; PPP1R27; RNF186; SATB2; SCT; SERPINB2; SLC45A2; SLC7A9; SMURF2; SNTG2; TBR1; TBX4; TGM3; TMED11; TTLL3; UTS2; WNT10A",53
"5","MH","hatch_prolong(-); inc.d17_prolong(-)","APOBEC2; CALCA; FXYD2; GBX2; HCRT; LOC101750514; LOC107054855; NPVF; NR5A1; PITX2; RBPMS2; SHOX2; TREM-B2",13
"6","FG","hatch_prolong(-); inc.d17_prolong(-)","C11ORF34; C23H1ORF63; CDCA2; DPP9; HSP25; IFI6; LOC772158; NOXO1; RPL29; SLC12A4; SPTSSB",11
"7","FP","hatch_prolong(+); inc.d17_prolong(+)","FAP; MYH1C; NEB; RELN",4
"8","MG","hatch_prolong(-); inc.d17_prolong(-)","ISX; LOC420992; MSANTD1; YJEFN3",4
"9","MH","hatch_prolong(+); inc.d17_prolong(+)","ESRP2; LOC422929",2
"10","FP","hatch_prolong(-); inc.d17_prolong(-)","MLN",1
